"View","Name of Firm","Trade Name","unknown","unknown","Address, line 1","Address, line 2","City","State","Zip","Capabilities Narrative"
"1","BASCOM-TURNER INSTRUMENTS INC","","George  Champey","","111 DOWNEY ST","","NORWOOD","MA","02062-2612",""
"2","SEMILAB USA LLC","","Alexis Bondaz","","101 Billerica Ave Bldg 5 Ste 105","","North Billerica","MA","01862-1271",""
"3","Gemedy, Inc ","","Alexander D Wissner-Gross","","350 Third Street, Suite 2011 ","","Cambridge","MA","02142-1154",""
"4","Analgesic Solutions LLC","Analgesic Research","Nathalie  Erpelding","","321 Commonwealth Rd Ste 204","","Wayland","MA","01778-5039",""
"5","Bethel Child Care Services, Incorporated","","James S Hurley","","411 Merrimack St STE 100","","METHUEN","MA","01844-5821",""
"6","Cornell Orthopedics & Prosthetics, Inc ","","Sandra Wheeler","","100 CUMMINGS CTR STE 207H ","","BEVERLY","MA","01915-6104",""
"7","METROPOLITAN TRUCK CENTER INC.","","AMY  ARNOLD","","1074 TURNPIKE ST STE 1","","STOUGHTON","MA","02072-1119",""
"8","Volpe Tool & Die, Incorporated","","John Volpe","","290 Beaver St","","Franklin","MA","02038-3022",""
"9","OXFORD LASERS, INC.","","Patti Smith","","2 Shaker Rd Ste B104","","Shirley","MA","01464-2534",""
"10","Comprehensive Environmental Inc.","","EILEEN Pannetier","","41 Main St","","Bolton","MA","01740-1107","engineering, environmental consulting, EDWOSB, stormwater, drainage, water, wastewater, flood management, roadways, hazardous waste investigation, remediation, utilities, construction management & inspection, facility audits, plans & specifications, NPDES"
"11","Solidus Technical Solutions, LLC","Solidus","Maureen Flynn","President","17 Forsythia Rd","","Leominster","MA","01453-1780","Subcontractor to prime DOD Contractors. Staff: Systems and Software Engineers with extensive experience in Modeling and Simulation, System of Systems Integration, Intelligence Systems and Homeland Security."
"12","San-Tron, Inc. ","","CHRISTOPHER C SANDERS","","4 Turnpike Rd ","","Ipswich","MA","01938-1024",""
"13","AKITA INNOVATIONS LLC ","","Lawrence Hancock","","267 Boston Rd Ste 11 ","","NORTH BILLERICA","MA","01862-2310","Contract R&D in materials, coatings and dyes"
"14","B-C-D METAL PRODUCTS, INC.","","KARIN  J Carlson","","205 MAPLEWOOD ST","","MALDEN","MA","02148-5913",""
"15","Advanced Control Systems Corporation","Telescada","Charles W Marshall","PRESIDENT","222 Bolivar St","","Canton","MA","02021-3199","MANUFACTURER OF STEPPING MOTOR CONTROLS AND DRIVES BOTH STANDARD AND CUSTOM. CUSTOM INDUSTRIAL CONTROLS COMPUTER BASED. DATA ACQUISITION SYSTEMS. COMMUNICATION SYSTEM."
